Sigla,Nome do evento,Estrato,quadrienio
ECSQARU,European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty,B3,2017-2020
EDBT,International Conference on Extending Database Technology,A2,2017-2020
EDCC,European Dependable Computing Conference,A4,2017-2020
EDGE,International Conference on Edge Computing,A3,2017-2020
EDM,International Conference on Educational Data Mining,A2,2017-2020
EDOC,IEEE International Enterprise Distributed Object Computing Conference,A4,2017-2020
EDUCOMP,Simpósio Brasileiro de Educação em Computação,B3,2017-2020
EDUCON,IEEE Global Engineering Education Conference,B3,2017-2020
EECS,European Conference on Electrical Engineering and Computer Science,B3,2017-2020
EEEWC,"International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government",B4,2017-2020
EGOV,International Conference on Electronic Government,B1,2017-2020
EGOV-CEDEM-EPART,International Conference on Electronic Government/International Conference for E-Democracy and Open Government,B1,2017-2020
EGOVIS,International Conference on Electronic Government and the Information Systems Perspective,B3,2017-2020
EICS,ACM SIGCHI Symposium on Engineering Interactive Computing Systems,A4,2017-2020
EIT,International Conference on Electro Information Technology,A3,2017-2020
EJC,International Conference on Information Modeling and Knowledge,B3,2017-2020
EM-GIS,International Workshop on the Use of GIS in Emergency Management,B4,2017-2020
EMAS,International Workshop on Engineering Multiagent Systems,B4,2017-2020
EMBC,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,A1,2017-2020
EMBS,IEEE-EMBS International Conference on Biomedical and Health Informatics,A3,2017-2020
EMNLP,Conference on Empirical Methods in Natural Language Processing,A1,2017-2020
EMO,International Conference on Evolutionary Multi-Criterion Optimization,B1,2017-2020
EMSOFT,ACM International Conference on Embedded Software,B3,2017-2020
ENANPAD,Encontro Nacional da Associação Nacional de Pós-Graduação e Pesquisa em Administração,B3,2017-2020
ENASE,International Conference on Evaluation of Novel Approaches to Software Engineering,B1,2017-2020
ENCP,ACM CoNEXT Workshop on Emerging in-Network Computing Paradigms,B4,2017-2020
ENIAC,Encontro Nacional de Inteligencia Artificial e Computacional,B4,2017-2020
EPIA,Portuguese Conference on Artificial Intelligence,B2,2017-2020
ER,International Conference on Conceptual Modeling,A3,2017-2020
Ergodesign,Congresso Internacional de Ergonomia e Usabilidade de Interfaces Humano Tecnológica,B4,2017-2020
ESA,European Symposium on Algorithms,A3,2017-2020
ESANN,"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",A3,2017-2020
ESCIENCE,IEEE International Conference on e-Science,A3,2017-2020
ESELAW,Workshop Latinoamericano de Ingeniería de Software Experimental,B4,2017-2020
ESEM,ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,A2,2017-2020
ESOCC,European Conference on Service-Oriented and Cloud Computing,B1,2017-2020
ESOP,European Symposium on Programming,A2,2017-2020
ESORICS,European Symposium on Research in Computer Security,A2,2017-2020
ESSCIRC,European Solid State Circuits Conference,A3,2017-2020
ESSDERC,European Solid State Device Research Conference,A4,2017-2020
